parameters_b,architecture,energy_j,energy_kwh,co2_grams
0.3,JEPA (Predictive),68.78,1.911e-05,0.013527
0.3,Generative,28.5,7.92e-06,0.005605
0.3,JEPA (Predictive),79.35,2.204e-05,0.015605
0.6,Generative,124.21,3.45e-05,0.024428
0.6,JEPA (Predictive),170.48,4.735e-05,0.033527
0.6,Generative,94.89,2.636e-05,0.018661
0.6,JEPA (Predictive),169.51,4.709e-05,0.033337
0.6,Generative,104.01,2.889e-05,0.020456
0.6,JEPA (Predictive),182.49,5.069e-05,0.03589
0.6,Generative,124.0,3.445e-05,0.024387
0.6,JEPA (Predictive),154.96,4.304e-05,0.030476
0.6,Generative,113.47,3.152e-05,0.022316
0.6,JEPA (Predictive),152.92,4.248e-05,0.030074
0.6,Generative,118.87,3.302e-05,0.023377
0.6,JEPA (Predictive),187.37,5.205e-05,0.03685
0.6,Generative,107.83,2.995e-05,0.021206
0.6,JEPA (Predictive),179.66,4.99e-05,0.035333
0.6,Generative,113.27,3.147e-05,0.022277
0.6,JEPA (Predictive),157.48,4.374e-05,0.03097
0.6,Generative,118.34,3.287e-05,0.023273
0.6,JEPA (Predictive),153.33,4.259e-05,0.030155
0.6,Generative,112.99,3.139e-05,0.022222
0.6,JEPA (Predictive),150.55,4.182e-05,0.029608
1.0,Generative,358.94,9.971e-05,0.070592
1.0,JEPA (Predictive),301.06,8.363e-05,0.059208
1.0,Generative,279.01,7.75e-05,0.054872
1.0,JEPA (Predictive),306.42,8.512e-05,0.060262
1.0,Generative,296.63,8.24e-05,0.058337
1.0,JEPA (Predictive),293.37,8.149e-05,0.057696
1.0,Generative,318.43,8.845e-05,0.062624
1.0,JEPA (Predictive),322.73,8.965e-05,0.063469
1.0,Generative,284.08,7.891e-05,0.05587
1.0,JEPA (Predictive),282.73,7.853e-05,0.055603
1.0,Generative,291.75,8.104e-05,0.057377
1.0,JEPA (Predictive),230.94,6.415e-05,0.045419
1.0,Generative,254.54,7.071e-05,0.05006
1.0,JEPA (Predictive),341.01,9.472e-05,0.067065
1.0,Generative,349.35,9.704e-05,0.068705
1.0,JEPA (Predictive),292.53,8.126e-05,0.057531
1.0,Generative,317.3,8.814e-05,0.062402
1.0,JEPA (Predictive),309.34,8.593e-05,0.060836
1.0,Generative,392.37,0.00010899,0.077165
1.0,JEPA (Predictive),333.59,9.266e-05,0.065605
2.0,Generative,1031.3,0.00028647,0.202822
2.0,JEPA (Predictive),581.62,0.00016156,0.114385
2.0,Generative,876.84,0.00024357,0.172446
2.0,JEPA (Predictive),656.15,0.00018226,0.129042
2.0,Generative,965.65,0.00026824,0.189911
2.0,JEPA (Predictive),551.6,0.00015322,0.108482
2.0,Generative,977.12,0.00027142,0.192166
2.0,JEPA (Predictive),573.51,0.00015931,0.112791
2.0,Generative,1220.91,0.00033914,0.240112
2.0,JEPA (Predictive),699.76,0.00019438,0.137619
2.0,Generative,1043.83,0.00028995,0.205286
2.0,JEPA (Predictive),738.23,0.00020506,0.145186
2.0,Generative,1052.74,0.00029243,0.207039
2.0,JEPA (Predictive),587.68,0.00016324,0.115577
2.0,Generative,1203.78,0.00033438,0.236743
2.0,JEPA (Predictive),677.72,0.00018826,0.133285
2.0,Generative,936.3,0.00026008,0.18414
2.0,JEPA (Predictive),630.82,0.00017523,0.124062
2.0,Generative,953.19,0.00026477,0.18746
2.0,JEPA (Predictive),554.14,0.00015393,0.108981
5.0,Generative,5939.3,0.00164981,1.168063
5.0,JEPA (Predictive),2098.35,0.00058288,0.412676
5.0,Generative,4675.61,0.00129878,0.919536
5.0,JEPA (Predictive),1861.12,0.00051698,0.36602
5.0,Generative,5082.17,0.00141171,0.999493
5.0,JEPA (Predictive),1676.1,0.00046558,0.329633
5.0,Generative,5113.83,0.00142051,1.00572
5.0,JEPA (Predictive),1609.7,0.00044714,0.316574
5.0,Generative,5462.22,0.00151728,1.074237
5.0,JEPA (Predictive),1615.52,0.00044876,0.317719
5.0,Generative,5582.86,0.0015508,1.097963
5.0,JEPA (Predictive),1753.08,0.00048697,0.344772
5.0,Generative,5305.96,0.00147388,1.043505
5.0,JEPA (Predictive),1602.02,0.00044501,0.315064
5.0,Generative,5122.32,0.00142287,1.00739
5.0,JEPA (Predictive),1895.02,0.0005264,0.372688
5.0,Generative,5708.14,0.00158559,1.122601
5.0,JEPA (Predictive),1589.69,0.00044158,0.312639
5.0,Generative,5489.84,0.00152496,1.079669
5.0,JEPA (Predictive),1894.32,0.0005262,0.372549
