query_id,model,parameters_b,precision,prompt,tokens_generated,energy_kwh,duration_s,co2_grams,quality_score,energy_per_token,gpu_memory_mb
30,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 10,4096,0.0014713281284687955,73.59837635915932,0.5031362578069385,93.25,3.5921096886445204e-07,14051.889645168392
31,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 11,4096,0.0014405553934940085,72.05907096123151,0.49261319471984044,96.1,3.5169809411474816e-07,14025.622528181559
32,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 12,4096,0.0014495658029466557,72.50978721766317,0.49569439979272323,95.34,3.5389790111002335e-07,14031.954630535523
33,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 13,4096,0.0015478732543207406,77.42729587201708,0.5293116753968874,97.02,3.7789874373064957e-07,14027.691896804856
34,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 14,4096,0.0013588739056059767,67.97322174048988,0.46468134365759206,98.09,3.3175632461083416e-07,14033.977968177907
35,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 15,4096,0.001443692295008586,72.215984197514,0.4936858914613864,94.47,3.5246393921108057e-07,14021.122520214052
36,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 16,4096,0.0013781674252580027,68.93831694472578,0.4712789673214224,97.88,3.3646665655712956e-07,14026.315893971145
37,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 17,4096,0.00128721388839136,64.38866380618742,0.440176440775551,93.59,3.1426120322054687e-07,14022.8038564633
38,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 18,4096,0.0014001201353662865,70.03642945232424,0.4787859293640071,94.37,3.418262049234098e-07,14025.803801116146
39,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 19,4096,0.0013334595379012957,66.70195113601517,0.45599063108705895,92.79,3.255516449954335e-07,14039.115001907887
40,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 0,4096,0.0013978829166597336,69.84588758028734,0.478068098437698,97.02,3.412800089501303e-07,14038.94772251007
41,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 1,4096,0.001535400334000424,76.71701101805043,0.52509828202934,96.18,3.7485359716807227e-07,14023.237656018384
42,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 2,4096,0.001397865226922267,69.84500370410595,0.47806204864693824,98.31,3.412756901665691e-07,14029.44212652387
43,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 3,4096,0.0013123583779589265,65.57261315632745,0.44881918703090057,100.39,3.2039999461887855e-07,14031.528753190474
44,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 4,4096,0.0013328713802320026,66.59755511221245,0.45583451848181405,98.3,3.2540805181445375e-07,14036.927002565166
45,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 5,4096,0.0014361160233995528,71.75622301923495,0.4911436059917545,95.76,3.5061426352528144e-07,14018.780162349663
46,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 6,4096,0.0014124966046607105,70.57606748096788,0.4830658975741827,93.09,3.4484780387224376e-07,14036.414481362299
47,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 7,4096,0.0014173829174126697,70.82021443139416,0.48473698906393564,89.89,3.4604075132145257e-07,14031.69494486669
48,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 8,4096,0.00142633732857585,71.26762586192056,0.4877993473390049,93.77,3.482268868593384e-07,14006.906298227086
49,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 9,4096,0.0015326939348042669,76.58178448959848,0.5241727087199444,96.13,3.7419285517682297e-07,14036.078435628395
50,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 10,4096,0.0013287447674879243,66.39136693552379,0.4544232401236348,99.95,3.244005779999815e-07,14013.583291535086
51,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 11,4096,0.0015281114366660145,76.35281778145239,0.5226055201199983,98.45,3.730740812172887e-07,14026.601974715031
52,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 12,4096,0.001428675941607379,71.3844757789968,0.48859913984783404,96.93,3.48797837306489e-07,14057.593673669884
53,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 13,4096,0.0014023280818703068,70.06799238310974,0.4795883199484795,99.01,3.4236525436286786e-07,14040.952721344825
54,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 14,4096,0.0013525790506313663,67.58225827638908,0.46257443095958706,97.67,3.302194947830484e-07,14023.939217002768
55,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 15,4096,0.0014567135284152854,72.78538719501653,0.4981878369055723,98.84,3.5564295127326303e-07,14026.402723480125
56,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 16,4096,0.0014936493425089289,74.63090278729197,0.5108196776681664,95.52,3.6466048401096896e-07,14055.023248766864
57,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 17,4096,0.0013824112783676094,69.07283978353999,0.47277688512513694,98.46,3.3750275350771714e-07,14037.020706965332
58,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 18,4096,0.001456230725415785,72.76126371255269,0.4980227209941176,96.56,3.555250794472131e-07,14026.64687465525
59,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 19,4096,0.0013693115639060094,68.41830629385038,0.46829685642738417,97.25,3.3430458103174056e-07,14032.953068557004
60,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 0,4096,0.0014993784079922968,75.05406295400402,0.5127638767449788,96.88,3.6605918163874435e-07,14040.257446311367
61,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 1,4096,0.0013390835579268543,67.03021807009387,0.45794555449644764,96.31,3.269246967594859e-07,14044.305160718783
62,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 2,4096,0.0014065634284405038,70.4080434560424,0.48102261084352416,92.96,3.4339927452160737e-07,14027.60321248861
63,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 3,4096,0.0015140231335751028,75.78713083731964,0.5177721429862948,97.14,3.696345540954841e-07,14042.049305612618
64,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 4,4096,0.0013668728566308165,68.42126102713338,0.4674490583881357,95.78,3.3370919351338294e-07,14030.05080266591
65,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 5,4096,0.0013895243777399978,69.5551233545287,0.4751955230005394,95.85,3.3923935003417914e-07,14032.530145836556
66,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 6,4096,0.001366794199619397,68.41732371000558,0.46742215892506916,97.4,3.336899901414543e-07,14021.512262661003
67,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 7,4096,0.0014769002568541555,73.92887897001515,0.5050767019409302,97.25,3.6057135177103406e-07,14029.640862805572
68,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 8,4096,0.0013131824525410237,65.73369200046115,0.4490877830767548,96.48,3.2060118470239837e-07,14051.627358265563
69,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 9,4096,0.0014617002281431383,73.16801439727068,0.49987853074748717,95.24,3.568604072615084e-07,14028.250872371416
70,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 10,4096,0.0014401764525784127,72.09060338639325,0.49251773740677485,97.45,3.5160557924277654e-07,14035.686279614425
71,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 11,4096,0.001426706470379473,71.4163393803494,0.48791121496040807,95.17,3.4831700936998853e-07,14028.94570864087
72,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 12,4096,0.0013329817212406334,66.72477974155618,0.4558588221426845,93.81,3.25434990537264e-07,14047.020462246084
73,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 13,4096,0.001321018099453367,66.12591929512509,0.45176745130871093,93.28,3.2251418443685717e-07,14024.685101030782
74,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 14,4096,0.0013997702331448596,70.06799793807285,0.47869944469899867,94.89,3.4174077957638174e-07,14036.601460429865
75,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 15,4096,0.0014382290298010161,71.99312166266448,0.4918517493895561,93.1,3.511301342287637e-07,14048.598978337568
76,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 16,4096,0.0014637248089843,73.26935840562643,0.5005709056112067,94.01,3.573546896934326e-07,14012.332922631354
77,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 17,4096,0.0012768502184198089,63.91501715996865,0.4366627293881758,94.9,3.1173101035639865e-07,14044.558957330595
78,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 18,4096,0.0013804560688743708,69.10119296520259,0.47209430373215866,96.81,3.3702540744003193e-07,14018.659317662541
79,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 19,4096,0.0013315919195177842,66.65521073519707,0.4553835317720107,95.27,3.2509568347602153e-07,14019.47372123252
80,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 0,4096,0.002549142062418134,127.6555807054798,0.8718199841226891,87.12,6.223491363325522e-07,4825.170450034993
81,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 1,4096,0.00269696663104157,135.0583188377991,0.9223767635859624,88.41,6.584391189066333e-07,4799.152158114302
82,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 2,4096,0.0027064681548652717,135.53413482278623,0.9256263346754855,88.0,6.607588268714042e-07,4821.778881670676
83,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 3,4096,0.002811745970279149,140.80622258132968,0.9616319009072599,87.18,6.864614185251829e-07,4820.421546078283
84,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 4,4096,0.002597601555954205,130.08232846475235,0.8883933856243434,86.43,6.341800673716321e-07,4813.204891002085
85,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 5,4096,0.0023850805838007668,119.43973285883895,0.8157100960972031,87.71,5.822950644044841e-07,4826.31252948765
86,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 6,4096,0.0027051991016687872,135.4705833537913,0.9251923118119028,86.85,6.604489994308563e-07,4806.864340577804
87,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 7,4096,0.002706618692732464,135.54167343710589,0.9256778194173209,89.1,6.607955792803867e-07,4829.188559912682
88,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 8,4096,0.0026877759275573936,134.59806807042858,0.919233494686288,88.35,6.561952948138168e-07,4807.3488107788135
89,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 9,4096,0.0028230621477375708,141.3729125379697,0.9655020930780218,87.67,6.892241571624929e-07,4820.811256466573
90,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 10,4096,0.002774122868666008,138.92213814556038,0.9487646024013852,84.12,6.772760909829121e-07,4807.350390102886
91,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 11,4096,0.0027877881182911514,139.60646461057044,0.9534381896003362,85.34,6.806123335671756e-07,4833.074319111806
92,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 12,4096,0.0026807654413736107,134.24699792098008,0.916835871562985,86.99,6.544837503353542e-07,4835.028852767752
93,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 13,4096,0.002474957181810626,123.94056060003511,0.8464483650250743,90.82,6.042375932154848e-07,4826.106097823646
94,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 14,4096,0.0027409711379052025,137.26197039576937,0.9374265362293853,89.39,6.691824067151373e-07,4825.218764001717
95,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 15,4096,0.002698116686918947,135.11591117564276,0.9227700887409379,82.65,6.587198942673211e-07,4822.11679403444
96,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 16,4096,0.002777089812677705,139.07071635401635,0.9497793128482077,89.37,6.780004425482678e-07,4829.972505909916
97,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 17,4096,0.0027927109038491404,139.85298717922538,0.955121808136266,84.43,6.81814185510044e-07,4820.9344751415165
98,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 18,4096,0.0027767818534349523,139.05529441400492,0.949673989168494,86.91,6.779252571862677e-07,4813.482611170019
99,Llama-2-7B (Real),7.0,INT4,Real Data Prompt 19,4096,0.0024775638152124144,124.07109522401599,0.8473398473494471,86.54,6.048739783233434e-07,4807.33600786405
100,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 0,4096,0.002126700607083358,129.49431574662685,0.7272056499168892,94.67,5.192140154012105e-07,7568.90427886219
101,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 1,4096,0.00205794476833783,125.30778838011234,0.7036952252553315,93.66,5.02427921957478e-07,7570.461342890391
102,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 2,4096,0.0019586825706015072,119.26373576050086,0.6697534326134338,93.81,4.781939869632586e-07,7570.283402313377
103,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 3,4096,0.001935592150517442,117.85776533893366,0.6618578765167459,94.36,4.7255667737242234e-07,7578.875010258924
104,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 4,4096,0.002151552383076645,131.00753472847157,0.7357034854150285,90.98,5.252813435245716e-07,7590.74428089271
105,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 5,4096,0.001963193998286402,119.53843556504789,0.6712960736841702,96.01,4.792954097378911e-07,7567.276580328593
106,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 6,4096,0.002035000266669238,123.9107028976398,0.6958495646144522,94.85,4.968262369797944e-07,7572.945104344178
107,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 7,4096,0.002223650406153296,135.3975669379416,0.7603567391708937,94.23,5.428833999397696e-07,7570.618113241278
108,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 8,4096,0.0021705484515487155,132.1642010126085,0.7421990157558238,91.76,5.299190555538856e-07,7565.520390298307
109,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 9,4096,0.0021259175512380233,129.44663565449483,0.7269378911956892,93.83,5.190228396577205e-07,7568.880594600669
110,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 10,4096,0.00210513271884604,128.18105194254986,0.7198307095370754,92.7,5.139484176870215e-07,7559.9549035186665
111,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 11,4096,0.0019916284596966506,121.26980344620618,0.6810189754038601,92.59,4.862374169181276e-07,7566.338549653166
112,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 12,4096,0.0019004337665632725,115.71697934501499,0.6498357915235584,95.02,4.6397308753986144e-07,7559.6876264584425
113,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 13,4096,0.0020266996945250944,123.405282949702,0.6930112605576146,95.88,4.947997301086656e-07,7560.682746541893
114,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 14,4096,0.0020657872974128807,125.7853181898628,0.706376905710972,95.84,5.043426019074416e-07,7582.061001273771
115,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 15,4096,0.002010688747324911,122.43038002014177,0.6875364648925764,89.72,4.908908074523709e-07,7580.379455993265
116,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 16,4096,0.001755125877372587,106.86921505667907,0.6001490995439658,91.68,4.2849752865541677e-07,7567.280720850583
117,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 17,4096,0.0020235488379685726,123.21342801137942,0.6919338542304857,94.07,4.94030478019671e-07,7556.81305905799
118,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 18,4096,0.00207918684911615,126.60121384219258,0.7109587587807064,95.04,5.076139768349976e-07,7578.97727202777
119,Llama-2-7B (Real),7.0,INT8,Real Data Prompt 19,4096,0.001845855967070044,112.39374956044044,0.6311734165661645,96.72,4.5064842946045997e-07,7577.541552625867
120,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 0,4096,0.0013456026651158806,67.25632167628213,0.46029025309952826,98.02,3.285162756630568e-07,14028.432682695966
121,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 1,4096,0.0015198242037896682,75.96431561219784,0.5198862082878609,101.1,3.7105083100333697e-07,14028.363269116719
122,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 2,4096,0.0013665398552016568,68.30281067924882,0.4674522369255227,100.42,3.33627894336342e-07,14025.137613074721
123,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 3,4096,0.0013649703950383404,68.22436544401066,0.4669153717464244,94.89,3.3324472535115733e-07,14014.413196089841
124,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 4,4096,0.0013826026102623536,69.10566418822022,0.47294682294562923,95.83,3.375494653960824e-07,14034.50149055838
125,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 5,4096,0.0013399445698918891,66.97351703987259,0.4583547886788421,103.31,3.27134904758762e-07,14029.60124457213
126,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 6,4096,0.001557047703673279,77.82483190500228,0.5326192494944952,97.46,3.801385995296091e-07,14030.10951847804
127,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 7,4096,0.0013807314416488352,69.01213886945867,0.47230675236830605,100.9,3.3709263712129765e-07,14024.863346347813
128,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 8,4096,0.001442714241842185,72.11018204094842,0.4935092065016423,96.56,3.522251566997522e-07,14023.935044403008
129,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 9,4096,0.0013349528298604836,66.72401837137251,0.45664726435384767,95.05,3.2591621822765714e-07,14025.443023838654
130,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 10,4096,0.0014418155829321654,72.06526499797843,0.49320180228205607,95.36,3.520057575517982e-07,14010.320606607
131,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 11,4096,0.0013712985305235218,68.54066023654944,0.4690800368140812,96.26,3.347896803035942e-07,14024.637486154952
132,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 12,4096,0.0013217232713685788,66.06277455502638,0.45212182977757964,97.29,3.2268634554896943e-07,14046.683456972687
133,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 13,4096,0.001342919401449468,67.12220597558606,0.45937238919797346,97.25,3.27861181994499e-07,14040.61340048339
134,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 14,4096,0.00139341588274487,69.64613646232559,0.4766457186574499,93.3,3.401894244982593e-07,14030.954998975694
135,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 15,4096,0.0014440375640358968,72.17632473332631,0.49396187527472574,95.51,3.5254823340720136e-07,14036.746677690133
136,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 16,4096,0.0013872009757253145,69.33550108939444,0.4745197856467756,96.5,3.386721132141881e-07,14039.312064759106
137,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 17,4096,0.0015045538690047645,75.20106909446775,0.5146626854417222,96.6,3.673227219249913e-07,14039.107294121368
138,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 18,4096,0.0013028276215888185,65.11832644057465,0.44565819556735986,95.49,3.1807314980195764e-07,14020.793521121752
139,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 19,4096,0.0014192474499993093,70.9372577135736,0.4854819218976385,97.11,3.464959594724876e-07,14024.318651965761
140,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 0,4096,0.0015167220725163838,75.78279709663227,0.5186842054302168,94.51,3.7029347473544527e-07,14038.687595200747
141,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 1,4096,0.0013761822853983292,68.76074713496641,0.47062281756386953,97.13,3.3598200327107647e-07,14019.450998597622
142,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 2,4096,0.0015257561703297313,76.23418447599846,0.5217736599393878,96.0,3.7249906502190705e-07,14031.26036033222
143,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 3,4096,0.001356489210015545,67.77678549625551,0.4638882368898704,96.31,3.3117412353895144e-07,14023.195321880525
144,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 4,4096,0.0013558707743475825,67.74588544832203,0.4636767460578588,97.27,3.3102313826845276e-07,14029.344562928565
145,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 5,4096,0.0013763676518145011,68.77000894090953,0.47068620863203414,93.51,3.360272587437747e-07,14034.302680083085
146,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 6,4096,0.0014111991949262487,70.51036191132603,0.4825977984942763,96.8,3.445310534487912e-07,14016.709881265731
147,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 7,4096,0.0014736221914679502,73.6293178273793,0.5039450333954522,91.27,3.59771042838855e-07,14037.02886174186
148,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 8,4096,0.0015057869587499304,75.23642573248587,0.5149446470114277,94.22,3.6762376922605723e-07,14035.445869803572
149,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 9,4096,0.0013380341751173385,66.85468236975343,0.4575770377019521,89.29,3.2666849978450646e-07,14022.30022500436
150,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 10,4096,0.001305306831938099,65.21946544200786,0.4463850360159725,93.56,3.1867842576613743e-07,14027.141870925363
151,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 11,4096,0.0013456058887916043,67.23300193894036,0.4601663903342151,97.08,3.2851706269326276e-07,14016.374487904452
152,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 12,4096,0.0014198927240533748,70.94473282596672,0.48557078631412565,97.18,3.4665349708334347e-07,14032.330159023775
153,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 13,4096,0.0014632590126373913,73.11152310887203,0.5004010636234941,97.82,3.572409698821756e-07,14051.11379045165
154,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 14,4096,0.0013745055975648002,68.6769716719563,0.47004942873248956,97.23,3.355726556554688e-07,14022.593821129156
155,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 15,4096,0.0013337866554932246,66.64245567135501,0.45612448328792715,97.92,3.2563150768877553e-07,14030.83241752842
156,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 16,4096,0.001412166302841933,70.55868331725326,0.48292852724801544,93.74,3.447671637797688e-07,14027.220028743743
157,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 17,4096,0.0013646288285290079,68.18348034788798,0.46667179996821084,91.74,3.331613350900898e-07,14035.409954962692
158,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 18,4096,0.0013501711575357302,67.46110492576753,0.4617276076686432,94.98,3.296316302577466e-07,14036.890004133451
159,Llama-2-7B (Real),7.0,FP16,Real Data Prompt 19,4096,0.0014921141090374693,74.55326379117311,0.5102688456120925,99.12,3.642856711517259e-07,14022.477321762302
