query_id,model,architecture_type,parameters_b,task,energy_j,energy_kwh,duration_s,co2_grams,gpu_memory_mb
34,ViT-MAE (Generative),Generative,0.3,Depth Estimation,874.59,0.00024294,2.881,0.172003,4135.5
35,ViT-MAE (Generative),Generative,0.3,Image Similarity Search,874.57,0.00024294,2.881,0.172,4353.8
36,ViT-MAE (Generative),Generative,0.3,Image Similarity Search,847.56,0.00023543,2.792,0.166688,4356.5
37,ViT-MAE (Generative),Generative,0.3,Image Similarity Search,671.86,0.00018663,2.213,0.132132,4282.2
38,ViT-MAE (Generative),Generative,0.3,Image Similarity Search,855.92,0.00023776,2.819,0.168331,4170.1
39,ViT-MAE (Generative),Generative,0.3,Image Similarity Search,856.24,0.00023784,2.821,0.168394,4001.2
40,ViT-MAE (Generative),Generative,0.3,Visual Question Answering,835.06,0.00023196,2.751,0.164229,4235.7
41,ViT-MAE (Generative),Generative,0.3,Visual Question Answering,950.5,0.00026403,3.131,0.186931,4148.2
42,ViT-MAE (Generative),Generative,0.3,Visual Question Answering,795.02,0.00022084,2.619,0.156354,4149.8
43,ViT-MAE (Generative),Generative,0.3,Visual Question Answering,912.25,0.0002534,3.005,0.179409,4232.9
44,ViT-MAE (Generative),Generative,0.3,Visual Question Answering,813.98,0.0002261,2.681,0.160082,4251.3
45,ViT-MAE (Generative),Generative,0.3,Image Retrieval,856.6,0.00023794,2.822,0.168465,4296.9
46,ViT-MAE (Generative),Generative,0.3,Image Retrieval,802.26,0.00022285,2.643,0.157778,4167.2
47,ViT-MAE (Generative),Generative,0.3,Image Retrieval,823.34,0.0002287,2.712,0.161923,4053.6
48,ViT-MAE (Generative),Generative,0.3,Image Retrieval,870.14,0.0002417,2.866,0.171127,4226.1
49,ViT-MAE (Generative),Generative,0.3,Image Retrieval,850.35,0.00023621,2.801,0.167235,4176.5
50,Stable Diffusion (Generative),Generative,0.9,Image Classification (ImageNet),2128.25,0.00059118,7.538,0.418556,7757.9
51,Stable Diffusion (Generative),Generative,0.9,Image Classification (ImageNet),2334.2,0.00064839,8.267,0.459059,7719.8
52,Stable Diffusion (Generative),Generative,0.9,Image Classification (ImageNet),2369.03,0.00065806,8.39,0.46591,7840.4
53,Stable Diffusion (Generative),Generative,0.9,Image Classification (ImageNet),2762.15,0.00076726,9.783,0.543222,7817.5
54,Stable Diffusion (Generative),Generative,0.9,Image Classification (ImageNet),2449.45,0.0006804,8.675,0.481725,7792.6
55,Stable Diffusion (Generative),Generative,0.9,Object Detection (COCO),2031.6,0.00056433,7.195,0.399547,7797.3
56,Stable Diffusion (Generative),Generative,0.9,Object Detection (COCO),2411.56,0.00066988,8.541,0.474274,8046.3
57,Stable Diffusion (Generative),Generative,0.9,Object Detection (COCO),2363.07,0.00065641,8.369,0.464736,7830.2
58,Stable Diffusion (Generative),Generative,0.9,Object Detection (COCO),2393.34,0.00066482,8.476,0.470689,7683.1
59,Stable Diffusion (Generative),Generative,0.9,Object Detection (COCO),2619.42,0.00072762,9.277,0.515153,7875.2
60,Stable Diffusion (Generative),Generative,0.9,Semantic Segmentation,2551.88,0.00070886,9.038,0.501869,7709.1
61,Stable Diffusion (Generative),Generative,0.9,Semantic Segmentation,2669.34,0.00074148,9.454,0.52497,7659.8
62,Stable Diffusion (Generative),Generative,0.9,Semantic Segmentation,2512.68,0.00069797,8.899,0.49416,8019.0
63,Stable Diffusion (Generative),Generative,0.9,Semantic Segmentation,2209.82,0.00061384,7.826,0.434597,7743.4
64,Stable Diffusion (Generative),Generative,0.9,Semantic Segmentation,2419.13,0.00067198,8.568,0.475763,7749.7
65,Stable Diffusion (Generative),Generative,0.9,Image Feature Extraction,2102.27,0.00058396,7.446,0.413447,7806.9
66,Stable Diffusion (Generative),Generative,0.9,Image Feature Extraction,2196.04,0.00061001,7.778,0.431887,7847.4
67,Stable Diffusion (Generative),Generative,0.9,Image Feature Extraction,2223.47,0.00061763,7.875,0.437283,7955.0
68,Stable Diffusion (Generative),Generative,0.9,Image Feature Extraction,2249.62,0.00062489,7.967,0.442424,7767.8
69,Stable Diffusion (Generative),Generative,0.9,Image Feature Extraction,2556.2,0.00071005,9.053,0.502718,7676.9
70,Stable Diffusion (Generative),Generative,0.9,Scene Understanding,2443.67,0.0006788,8.655,0.480589,7930.7
71,Stable Diffusion (Generative),Generative,0.9,Scene Understanding,2091.36,0.00058093,7.407,0.411301,7818.5
72,Stable Diffusion (Generative),Generative,0.9,Scene Understanding,2449.9,0.00068053,8.677,0.481813,7878.2
73,Stable Diffusion (Generative),Generative,0.9,Scene Understanding,2162.51,0.0006007,7.659,0.425293,7668.0
74,Stable Diffusion (Generative),Generative,0.9,Scene Understanding,2500.21,0.0006945,8.855,0.491709,7829.7
75,Stable Diffusion (Generative),Generative,0.9,Action Recognition (Video),2448.09,0.00068003,8.67,0.481459,7834.6
76,Stable Diffusion (Generative),Generative,0.9,Action Recognition (Video),2269.44,0.0006304,8.038,0.446322,7823.2
77,Stable Diffusion (Generative),Generative,0.9,Action Recognition (Video),2456.27,0.0006823,8.699,0.483066,7728.6
78,Stable Diffusion (Generative),Generative,0.9,Action Recognition (Video),2758.23,0.00076617,9.769,0.542452,7847.4
79,Stable Diffusion (Generative),Generative,0.9,Action Recognition (Video),2171.27,0.00060313,7.69,0.427016,7865.7
80,Stable Diffusion (Generative),Generative,0.9,Depth Estimation,2212.86,0.00061468,7.837,0.435196,7878.7
81,Stable Diffusion (Generative),Generative,0.9,Depth Estimation,2622.45,0.00072846,9.288,0.515749,7717.9
82,Stable Diffusion (Generative),Generative,0.9,Depth Estimation,2584.97,0.00071805,9.155,0.508377,7841.3
83,Stable Diffusion (Generative),Generative,0.9,Depth Estimation,2557.84,0.00071051,9.059,0.503041,7989.7
84,Stable Diffusion (Generative),Generative,0.9,Depth Estimation,2352.89,0.00065358,8.333,0.462734,7724.6
85,Stable Diffusion (Generative),Generative,0.9,Image Similarity Search,2229.21,0.00061923,7.895,0.438412,7718.4
86,Stable Diffusion (Generative),Generative,0.9,Image Similarity Search,2385.2,0.00066255,8.448,0.469089,7834.1
87,Stable Diffusion (Generative),Generative,0.9,Image Similarity Search,2453.12,0.00068142,8.688,0.482448,7882.7
88,Stable Diffusion (Generative),Generative,0.9,Image Similarity Search,2402.5,0.00066736,8.509,0.472491,7945.4
89,Stable Diffusion (Generative),Generative,0.9,Image Similarity Search,2349.19,0.00065255,8.32,0.462007,8072.0
90,Stable Diffusion (Generative),Generative,0.9,Visual Question Answering,2520.13,0.00070004,8.925,0.495625,7714.3
91,Stable Diffusion (Generative),Generative,0.9,Visual Question Answering,2194.39,0.00060955,7.772,0.431563,7848.2
92,Stable Diffusion (Generative),Generative,0.9,Visual Question Answering,2357.1,0.00065475,8.348,0.463562,7871.4
93,Stable Diffusion (Generative),Generative,0.9,Visual Question Answering,2490.86,0.00069191,8.822,0.489869,7792.7
94,Stable Diffusion (Generative),Generative,0.9,Visual Question Answering,2237.42,0.0006215,7.924,0.440025,7648.5
95,Stable Diffusion (Generative),Generative,0.9,Image Retrieval,2314.27,0.00064285,8.196,0.45514,7885.6
96,Stable Diffusion (Generative),Generative,0.9,Image Retrieval,2441.11,0.00067808,8.646,0.480084,7675.4
97,Stable Diffusion (Generative),Generative,0.9,Image Retrieval,2433.25,0.0006759,8.618,0.478539,7838.5
98,Stable Diffusion (Generative),Generative,0.9,Image Retrieval,2230.3,0.00061953,7.899,0.438626,7815.4
99,Stable Diffusion (Generative),Generative,0.9,Image Retrieval,2411.18,0.00066977,8.54,0.474198,7685.7
100,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Classification (ImageNet),288.01,8e-05,0.926,0.056643,2856.1
101,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Classification (ImageNet),304.26,8.452e-05,0.978,0.059838,2905.4
102,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Classification (ImageNet),249.14,6.921e-05,0.801,0.048998,2706.2
103,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Classification (ImageNet),291.54,8.098e-05,0.937,0.057336,2851.4
104,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Classification (ImageNet),291.54,8.098e-05,0.937,0.057336,3185.3
105,I-JEPA (Predictive),Predictive (JEPA),0.3,Object Detection (COCO),292.79,8.133e-05,0.941,0.057582,2913.6
106,I-JEPA (Predictive),Predictive (JEPA),0.3,Object Detection (COCO),301.37,8.371e-05,0.969,0.059269,2865.1
107,I-JEPA (Predictive),Predictive (JEPA),0.3,Object Detection (COCO),272.94,7.582e-05,0.877,0.053678,2875.9
108,I-JEPA (Predictive),Predictive (JEPA),0.3,Object Detection (COCO),262.69,7.297e-05,0.844,0.051662,2776.3
109,I-JEPA (Predictive),Predictive (JEPA),0.3,Object Detection (COCO),269.13,7.476e-05,0.865,0.052928,2808.2
110,I-JEPA (Predictive),Predictive (JEPA),0.3,Semantic Segmentation,331.85,9.218e-05,1.067,0.065264,2613.3
111,I-JEPA (Predictive),Predictive (JEPA),0.3,Semantic Segmentation,295.37,8.205e-05,0.949,0.05809,2638.7
112,I-JEPA (Predictive),Predictive (JEPA),0.3,Semantic Segmentation,269.43,7.484e-05,0.866,0.052988,2908.9
113,I-JEPA (Predictive),Predictive (JEPA),0.3,Semantic Segmentation,281.44,7.818e-05,0.905,0.05535,2692.2
114,I-JEPA (Predictive),Predictive (JEPA),0.3,Semantic Segmentation,263.98,7.333e-05,0.848,0.051916,2868.0
115,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Feature Extraction,263.64,7.323e-05,0.847,0.051849,2821.6
116,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Feature Extraction,281.02,7.806e-05,0.903,0.055267,2734.8
117,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Feature Extraction,328.02,9.112e-05,1.054,0.064511,2863.4
118,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Feature Extraction,234.64,6.518e-05,0.754,0.046145,2818.6
119,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Feature Extraction,265.18,7.366e-05,0.852,0.052151,2885.2
120,I-JEPA (Predictive),Predictive (JEPA),0.3,Scene Understanding,262.25,7.285e-05,0.843,0.051575,2788.5
121,I-JEPA (Predictive),Predictive (JEPA),0.3,Scene Understanding,291.31,8.092e-05,0.936,0.057291,2886.6
122,I-JEPA (Predictive),Predictive (JEPA),0.3,Scene Understanding,253.11,7.031e-05,0.814,0.049779,2766.5
123,I-JEPA (Predictive),Predictive (JEPA),0.3,Scene Understanding,269.36,7.482e-05,0.866,0.052974,2734.7
124,I-JEPA (Predictive),Predictive (JEPA),0.3,Scene Understanding,319.55,8.876e-05,1.027,0.062844,2840.5
125,I-JEPA (Predictive),Predictive (JEPA),0.3,Action Recognition (Video),251.76,6.993e-05,0.809,0.049512,2891.8
126,I-JEPA (Predictive),Predictive (JEPA),0.3,Action Recognition (Video),327.54,9.098e-05,1.053,0.064415,2903.2
127,I-JEPA (Predictive),Predictive (JEPA),0.3,Action Recognition (Video),245.97,6.832e-05,0.791,0.048373,2751.6
128,I-JEPA (Predictive),Predictive (JEPA),0.3,Action Recognition (Video),308.38,8.566e-05,0.991,0.060648,2729.2
129,I-JEPA (Predictive),Predictive (JEPA),0.3,Action Recognition (Video),289.94,8.054e-05,0.932,0.057022,2877.5
130,I-JEPA (Predictive),Predictive (JEPA),0.3,Depth Estimation,259.24,7.201e-05,0.833,0.050983,2794.0
131,I-JEPA (Predictive),Predictive (JEPA),0.3,Depth Estimation,207.4,5.761e-05,0.667,0.040788,2697.6
132,I-JEPA (Predictive),Predictive (JEPA),0.3,Depth Estimation,274.34,7.621e-05,0.882,0.053954,2675.2
133,I-JEPA (Predictive),Predictive (JEPA),0.3,Depth Estimation,316.57,8.794e-05,1.018,0.062258,2657.0
134,I-JEPA (Predictive),Predictive (JEPA),0.3,Depth Estimation,270.14,7.504e-05,0.868,0.053128,2813.1
135,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Similarity Search,312.28,8.675e-05,1.004,0.061416,2656.4
136,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Similarity Search,306.05,8.502e-05,0.984,0.060191,2801.0
137,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Similarity Search,258.01,7.167e-05,0.829,0.050743,2846.2
138,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Similarity Search,284.46,7.902e-05,0.914,0.055944,2740.0
139,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Similarity Search,281.56,7.821e-05,0.905,0.055374,2761.5
140,I-JEPA (Predictive),Predictive (JEPA),0.3,Visual Question Answering,282.54,7.848e-05,0.908,0.055567,2866.2
141,I-JEPA (Predictive),Predictive (JEPA),0.3,Visual Question Answering,315.53,8.765e-05,1.014,0.062054,2676.2
142,I-JEPA (Predictive),Predictive (JEPA),0.3,Visual Question Answering,327.78,9.105e-05,1.054,0.064463,2604.8
143,I-JEPA (Predictive),Predictive (JEPA),0.3,Visual Question Answering,276.6,7.683e-05,0.889,0.054398,2858.8
144,I-JEPA (Predictive),Predictive (JEPA),0.3,Visual Question Answering,286.29,7.953e-05,0.92,0.056305,2737.7
145,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Retrieval,275.34,7.648e-05,0.885,0.05415,2750.7
146,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Retrieval,266.8,7.411e-05,0.858,0.05247,2885.0
147,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Retrieval,288.0,8e-05,0.926,0.056639,2730.7
148,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Retrieval,300.15,8.338e-05,0.965,0.05903,2830.7
149,I-JEPA (Predictive),Predictive (JEPA),0.3,Image Retrieval,298.21,8.284e-05,0.959,0.058648,2863.0
150,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Classification (ImageNet),485.51,0.00013486,1.681,0.095484,3444.0
151,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Classification (ImageNet),551.09,0.00015308,1.908,0.108381,3561.0
152,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Classification (ImageNet),519.13,0.0001442,1.797,0.102096,3511.7
153,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Classification (ImageNet),573.15,0.00015921,1.984,0.11272,3440.8
154,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Classification (ImageNet),542.76,0.00015077,1.879,0.106743,3479.8
155,V-JEPA (Predictive),Predictive (JEPA),0.6,Object Detection (COCO),510.94,0.00014193,1.769,0.100486,3609.9
156,V-JEPA (Predictive),Predictive (JEPA),0.6,Object Detection (COCO),554.34,0.00015398,1.919,0.10902,3581.4
157,V-JEPA (Predictive),Predictive (JEPA),0.6,Object Detection (COCO),574.31,0.00015953,1.988,0.112947,3502.1
158,V-JEPA (Predictive),Predictive (JEPA),0.6,Object Detection (COCO),548.37,0.00015232,1.898,0.107846,3469.0
159,V-JEPA (Predictive),Predictive (JEPA),0.6,Object Detection (COCO),533.49,0.00014819,1.847,0.104919,3487.0
160,V-JEPA (Predictive),Predictive (JEPA),0.6,Semantic Segmentation,524.04,0.00014557,1.814,0.10306,3559.5
161,V-JEPA (Predictive),Predictive (JEPA),0.6,Semantic Segmentation,485.96,0.00013499,1.682,0.095573,3709.2
162,V-JEPA (Predictive),Predictive (JEPA),0.6,Semantic Segmentation,478.15,0.00013282,1.655,0.094036,3378.6
163,V-JEPA (Predictive),Predictive (JEPA),0.6,Semantic Segmentation,568.18,0.00015783,1.967,0.111742,3579.2
164,V-JEPA (Predictive),Predictive (JEPA),0.6,Semantic Segmentation,545.96,0.00015166,1.89,0.107373,3562.8
165,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Feature Extraction,519.49,0.0001443,1.798,0.102166,3410.3
166,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Feature Extraction,523.15,0.00014532,1.811,0.102887,3432.3
167,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Feature Extraction,560.56,0.00015571,1.94,0.110244,3485.3
168,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Feature Extraction,485.66,0.00013491,1.681,0.095513,3467.9
169,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Feature Extraction,537.18,0.00014922,1.859,0.105645,3443.6
170,V-JEPA (Predictive),Predictive (JEPA),0.6,Scene Understanding,485.8,0.00013494,1.682,0.09554,3524.4
171,V-JEPA (Predictive),Predictive (JEPA),0.6,Scene Understanding,530.19,0.00014728,1.835,0.104271,3449.3
172,V-JEPA (Predictive),Predictive (JEPA),0.6,Scene Understanding,500.4,0.000139,1.732,0.098413,3523.2
173,V-JEPA (Predictive),Predictive (JEPA),0.6,Scene Understanding,459.76,0.00012771,1.591,0.090419,3359.3
174,V-JEPA (Predictive),Predictive (JEPA),0.6,Scene Understanding,490.11,0.00013614,1.697,0.096389,3478.7
175,V-JEPA (Predictive),Predictive (JEPA),0.6,Action Recognition (Video),532.93,0.00014804,1.845,0.10481,3647.5
176,V-JEPA (Predictive),Predictive (JEPA),0.6,Action Recognition (Video),555.68,0.00015436,1.924,0.109283,3484.0
177,V-JEPA (Predictive),Predictive (JEPA),0.6,Action Recognition (Video),519.21,0.00014422,1.797,0.102111,3399.7
178,V-JEPA (Predictive),Predictive (JEPA),0.6,Action Recognition (Video),519.23,0.00014423,1.797,0.102115,3471.1
179,V-JEPA (Predictive),Predictive (JEPA),0.6,Action Recognition (Video),533.43,0.00014817,1.846,0.104907,3417.3
180,V-JEPA (Predictive),Predictive (JEPA),0.6,Depth Estimation,541.6,0.00015045,1.875,0.106516,3653.3
181,V-JEPA (Predictive),Predictive (JEPA),0.6,Depth Estimation,515.48,0.00014319,1.784,0.101377,3540.2
182,V-JEPA (Predictive),Predictive (JEPA),0.6,Depth Estimation,548.71,0.00015242,1.899,0.107913,3459.9
183,V-JEPA (Predictive),Predictive (JEPA),0.6,Depth Estimation,529.32,0.00014703,1.832,0.1041,3501.3
184,V-JEPA (Predictive),Predictive (JEPA),0.6,Depth Estimation,524.06,0.00014557,1.814,0.103066,3422.7
185,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Similarity Search,521.02,0.00014473,1.804,0.102467,3549.8
186,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Similarity Search,580.37,0.00016121,2.009,0.114139,3595.9
187,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Similarity Search,609.57,0.00016933,2.11,0.119883,3423.3
188,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Similarity Search,556.29,0.00015452,1.926,0.109403,3518.3
189,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Similarity Search,611.1,0.00016975,2.115,0.120182,3419.2
190,V-JEPA (Predictive),Predictive (JEPA),0.6,Visual Question Answering,485.07,0.00013474,1.679,0.095397,3440.1
191,V-JEPA (Predictive),Predictive (JEPA),0.6,Visual Question Answering,431.65,0.0001199,1.494,0.08489,3447.4
192,V-JEPA (Predictive),Predictive (JEPA),0.6,Visual Question Answering,488.42,0.00013567,1.691,0.096056,3515.0
193,V-JEPA (Predictive),Predictive (JEPA),0.6,Visual Question Answering,534.22,0.00014839,1.849,0.105063,3687.6
194,V-JEPA (Predictive),Predictive (JEPA),0.6,Visual Question Answering,559.54,0.00015543,1.937,0.110042,3442.3
195,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Retrieval,482.63,0.00013406,1.671,0.094916,3549.2
196,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Retrieval,465.08,0.00012919,1.61,0.091465,3683.1
197,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Retrieval,569.06,0.00015807,1.97,0.111916,3453.1
198,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Retrieval,448.73,0.00012465,1.553,0.088251,3635.4
199,V-JEPA (Predictive),Predictive (JEPA),0.6,Image Retrieval,515.24,0.00014312,1.784,0.10133,3623.8
